93;12;10.26.10;8:15:02;0.00;0.39;98.64;0.24;16.17;0.07;66.73;0.22;0.007;0.01;0.119;0.04;36.9238;0.000;-121.7376;0.000;113.40;0.07;36.9344;0.000;-121.9776;0.000;100.00;0.05;40.4;273.1;58.4;107.6;1.3;-0.4;0.44;_061_012;8;8;12;10.26.10;8:15:02;98.87;0.28;16.00;0.28;65.48;0.24;98.59;0.27;-7.17;0.28;40.70;0.26;80.11;0.43;-11.59;0.45;212.6709;0.0001;0.5388;0.0074;0.145;0.024;6.91;0.92205;0.012;164.45;0.60;87.41;1.03;32.659;0.002;120.06;1.03;_061_012;0;-0.10;0;1;212.6709;245.92;-7.17
94;13;10.26.10;8:19:07;0.00;1.70;141.80;0.02;29.45;0.01;69.45;0.06;0.002;0.00;3.580;0.69;37.2183;0.001;-120.7850;0.001;116.80;0.03;36.6824;0.001;-121.8770;0.001;101.60;0.03;41.2;238.2;83.0;107.6;-0.5;-4.4;0.61;_104_012_014_012_101;480;480;13;10.26.10;8:19:07;142.47;0.05;29.19;0.03;68.23;0.06;135.43;0.04;13.65;0.04;40.82;0.05;144.90;0.07;23.23;0.07;212.6737;0.0001;0.8660;0.0008;0.133;0.005;7.50;0.88447;0.004;155.12;0.08;136.50;0.19;212.662;0.000;349.17;0.19;_104_012_014_012_101;0;-0.33;0;1;212.6737;282.76;13.65
95;14;10.26.10;8:33:27;0.00;1.05;336.46;0.11;16.04;0.18;13.95;0.05;0.015;0.01;3.056;1.28;37.4064;0.000;-122.1499;0.001;81.80;0.05;37.4105;0.000;-122.0110;0.001;74.70;0.06;57.0;87.9;60.2;78.6;3.4;-0.3;0.44;_032_021;0;0;14;10.26.10;8:33:27;323.06;0.61;6.72;0.81;8.95;0.09;327.74;0.38;20.16;0.95;37.90;0.07;308.78;0.12;4.67;0.22;212.6836;0.0001;0.9795;0.0005;0.393;0.006;2.55;0.61528;0.006;4.70;0.23;196.02;0.24;212.670;0.001;48.69;0.24;_032_021;0;3.14;0;1;212.6836;115.06;20.16
96;15;10.26.10;8:33:34;0.00;0.12;103.32;0.56;13.63;1.14;66.23;0.51;0.002;0.02;1.051;0.16;37.2145;0.000;-121.6478;0.000;114.80;0.05;37.2206;0.000;-121.7213;0.001;110.90;0.11;34.5;275.9;59.6;113.8;2.6;1.1;0.25;_021_042;8;8;15;10.26.10;8:33:34;103.56;0.59;13.43;0.61;64.96;0.54;103.36;0.59;-9.38;0.61;38.91;0.57;87.33;0.96;-15.80;1.02;212.6837;0.0001;0.6457;0.0160;0.305;0.050;3.28;0.80290;0.031;160.87;1.22;77.70;2.44;32.672;0.003;110.37;2.44;_021_042;0;0.69;0;1;212.6837;250.68;-9.38
97;16;10.26.10;8:37:42;0.00;0.13;97.91;0.37;15.40;0.39;66.17;0.74;0.020;0.02;0.131;0.06;37.0698;0.000;-120.8474;0.000;111.60;0.03;37.0792;0.000;-120.9217;0.001;106.40;0.08;79.9;278.9;52.9;108.9;3.1;1.2;0.52;_104_014;8;8;16;10.26.10;8:37:42;98.06;0.41;15.24;0.46;64.93;0.70;97.85;0.39;-7.98;0.47;40.53;0.68;78.66;0.69;-12.85;0.74;212.6866;0.0001;0.5164;0.0160;0.160;0.062;6.24;0.91731;0.030;162.40;1.06;90.26;2.73;32.674;0.005;122.93;2.73;_104_014;0;0.00;0;1;212.6866;245.16;-7.98
98;17;10.26.10;8:48:34;0.00;0.30;99.03;0.14;15.99;0.06;67.24;0.13;0.015;0.01;0.117;0.07;36.9539;0.000;-121.8114;0.000;110.90;0.03;36.9749;0.000;-121.9839;0.000;98.60;0.04;40.9;278.6;52.1;104.0;1.8;-0.8;0.56;_012_042;8;8;17;10.26.10;8:48:34;99.17;0.13;15.84;0.17;66.02;0.14;98.89;0.13;-7.31;0.17;41.13;0.14;80.80;0.21;-11.79;0.27;212.6941;0.0001;0.5559;0.0039;0.105;0.013;9.50;0.94147;0.007;164.34;0.36;84.78;0.58;32.682;0.001;117.46;0.58;_012_042;0;-0.33;0;1;212.6941;246.20;-7.31
99;18;10.26.10;8:54:26;0.00;0.36;59.34;0.14;6.71;0.17;41.15;0.13;0.014;0.02;0.037;0.12;37.3959;0.000;-121.1566;0.000;98.30;0.06;37.4613;0.000;-121.1914;0.000;85.80;0.03;39.7;337.0;32.7;95.7;2.7;0.0;0.21;_014_031;0;0;18;10.26.10;8:54:26;59.01;0.16;6.12;0.21;39.55;0.15;58.16;0.15;-13.95;0.22;38.78;0.13;11.74;0.19;-14.24;0.23;212.6982;0.0001;0.1551;0.0022;0.316;0.011;3.16;0.95093;0.002;35.36;0.49;137.02;0.34;32.687;0.000;169.71;0.34;_014_031;0;2.04;0;1;212.6982;205.46;-13.95
100;19;10.26.10;8:54:46;0.00;0.12;48.17;1.67;24.65;0.84;40.88;1.34;0.020;0.04;0.002;0.14;37.4088;0.000;-121.2258;0.001;90.80;0.07;37.4182;0.000;-121.2267;0.001;86.10;0.12;59.0;355.6;12.8;88.4;2.7;1.2;0.50;_014_031;0;0;19;10.26.10;8:54:46;47.60;1.73;24.41;2.13;39.34;1.58;51.84;1.62;6.41;2.10;41.36;1.28;8.08;2.01;6.10;2.02;212.6984;0.0001;0.1754;0.0232;0.084;0.118;11.95;0.98532;0.021;14.39;4.80;311.26;3.74;212.686;0.006;163.95;3.74;_014_031;0;0.94;0;1;212.6984;199.14;6.41
562;18;11.3.10;6:30:12;0.00;0.38;37.57;0.27;-7.32;0.30;19.87;0.10;0.024;0.02;0.017;0.10;36.9436;0.000;-120.9742;0.000;86.40;0.03;36.9883;0.000;-121.0006;0.000;81.30;0.03;52.2;334.6;47.6;83.9;1.8;-0.4;0.48;_104_084_051_103;0;0;18;11.3.10;6:30:12;38.12;0.28;-11.82;0.63;16.34;0.13;31.55;0.37;-25.36;0.60;36.34;0.11;335.48;0.22;-11.10;0.25;220.5926;0.0001;0.7598;0.0039;0.527;0.009;1.90;0.59926;0.006;12.20;0.26;67.97;0.70;40.578;0.001;108.55;0.70;_104_084_051_103;0;3.69;0;1;220.5926;170.96;-25.36
563;19;11.3.10;6:33:52;0.00;0.35;38.37;0.08;43.49;0.06;33.67;0.11;0.007;0.02;0.232;0.13;37.2251;0.000;-121.6591;0.000;99.50;0.03;37.2111;0.000;-121.6903;0.000;88.20;0.04;24.8;240.7;15.9;92.1;2.9;0.4;0.65;_112_041_042;0;0;19;11.3.10;6:33:52;38.12;0.08;43.78;0.19;31.70;0.11;50.30;0.10;27.22;0.18;40.56;0.08;358.73;0.12;20.95;0.16;220.5951;0.0001;0.4904;0.0013;0.162;0.007;6.19;0.92080;0.003;29.85;0.22;273.15;0.17;220.582;0.000;133.73;0.17;_112_041_042;0;1.58;0;1;220.5951;189.70;27.22
